LISTEN 0      5            0.0.0.0:8850       0.0.0.0:*    users:(("python3",pid=3351,fd=3)) 
LISTEN 0      5            0.0.0.0:8851       0.0.0.0:*    users:(("python3",pid=3918,fd=3)) 
LISTEN 0      5            0.0.0.0:8852       0.0.0.0:*    users:(("python3",pid=2237,fd=3)) 
LISTEN 0      5            0.0.0.0:8854       0.0.0.0:*    users:(("python3",pid=3911,fd=3)) 
LISTEN 0      5            0.0.0.0:8856       0.0.0.0:*    users:(("python3",pid=3910,fd=3)) 
LISTEN 0      5            0.0.0.0:8857       0.0.0.0:*    users:(("python3",pid=3916,fd=3)) 
LISTEN 0      5            0.0.0.0:8860       0.0.0.0:*    users:(("python3",pid=3902,fd=3)) 
LISTEN 0      5            0.0.0.0:8861       0.0.0.0:*    users:(("python3",pid=3913,fd=3)) 
LISTEN 0      5            0.0.0.0:8862       0.0.0.0:*    users:(("python3",pid=3904,fd=3)) 
LISTEN 0      5            0.0.0.0:9100       0.0.0.0:*    users:(("python3",pid=3909,fd=3)) 
LISTEN 0      5          127.0.0.1:8849       0.0.0.0:*    users:(("python3",pid=2685,fd=3)) 
